product_id,name,name_en,price,currency,brand,category,availability,url,thumbnail_image,gallery_images,description,specifications
133,بانادول اكسترا اوبتيزورب لتخفيف إضافي مسكن فعال للألم والحمي | 24 قرص,panadol extra tab,58,EGP,بانادول,الأدوية>مسكنات الألم,in stock,https://chefaa.com:443/eg-ar/nowProduct/panadol-extra-tab,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-extra-tab-01762260859.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-extra-tab-01762260859.png,"مميزات المنتج   بانادول إكسترا أوبتیزورب مفعول أسرع للألم مقارنة بالباراسیتامول العادي لجمیع أعراض آلام الجسم، بما في ذلك الصداع، وآلام الجسم، وآلام الظھر، وآلام العضلات، والروماتیزم، وآلام الدورة الشھریة   عن هذا المنتج     ما هي أقراص بانادول اكسترا panadol extra  ؟ تم تصميم أقراص بانادول إكسترا لتخفيف أنواع متعددة من الألم: الصداع ، آلام الدورة الشهرية ، آلام العضلات، آلام الأسنان والحمى. لماذا أقراص بانادول اكسترا ؟ مع تركيبة مزدوجة، تحتوي على الباراسيتامول والكافيين. دواعي استعمال بنادول اكسترا أقراص بانادول اكسترا مخصصة للأشخاص الذين يحتاجون إلى تخفيف الألم، وهي مناسبة أيضا لأولئك الذين يتناولون معظم الأدوية الأخرى وكذلك كبار السن. المنتجات المتاحة من بانادول اكسترا  يمكن العثور على بانادول اكسترا في عبوات من 24 قرصا. من الجيد أن تكون في متناول اليد لتخفيف الألم بشكل فعال.   كيف سيفيدك بانادول اكسترا ؟  الباراسيتامول والكافيين معا يعملوا كمسكن قوي للألم ,عند الأستخدام حسب الإرشادات. يمكن تناوله على معدة فارغة ومن غير  أن يسبب تهيج المعدة. التهيج هو نسبة إلى التأثير على  الذين يعانون أو معرضون لخطر الإصابة بمرض قرحة المعدة  أو نزيف الجهاز الهضمي. عند الاستخدام حسب الإرشادات/اقرأ الملصق دائما قبل الاستخدام. سعر بنادول اكسترا panadol extra  سعر بانادول اكسترا هو 34 جنيه لعبوة تحتوى على ٢٤ قرص. سعر شريط بنادول اكسترا  هو 17 جنيه  "" سعر بنادول الاحمر قد يتغير تبعاً لتغير سعره فى الصيدليات """,ماركة: بانادول
60721,دوليبران 1000 مجم باراسيتامول مسكن للصداع والآلام | 20 قرص,novaldol analgesic and pain killer tablets_duYpVP2r_duzDVQep,60,EGP,دوليبران,الأدوية>مسكنات الألم,in stock,https://chefaa.com:443/eg-ar/nowProduct/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets_duYpVP2r_duzDVQep,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets-duypvp2r-duzdvqep-01754833691.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets-duypvp2r-duzdvqep-01754833691.png,"مميزات المنتج   دوليبران 1000 يحتوي القرص الواحد منه علي ١٠٠٠ مجم باراسيتمول، وهو يعمل علي تسكين الالام وخفض الحمي، اخلصي من وحش الصداع بحباية واحدة.   عن هذا المنتج     دوليبران أقراص  اخلصي من الم الصداع بحباية واحدة برشام دوليبران 1000 هو دواء مسكن للاسنان والصداع وآلام الجسم ويعمل كخافض للحرارة ويتميز بأنه آمن للحامل والمرضع ولا يسبب مشاكل بالمعدة. مكونات دواء دوليبران 1000 للصداع   دوليبران يحتوي القرص الواحد على ١٠٠٠ مجم باراسيتمول   الباراسيتامول paracetamol هو مسكن شائع يستخدم لعلاج الآلام والصداع وتقليل درجة الحرارة العالية كما أنه مكون في العديد من علاجات البرد والإنفلونزا"".  دواعي استعمال دوليبران 1000 باراسيتامول دوليبران اقراص يعمل على تسكين الالام وخفض الحمي.  دوليبران 1000 أقراص يُستخدم لحالات الصداع والصداع النصفي وآلام الاسنان والم الاذن والم الدورة الشهرية والم العضلات والمفاصل والعظام. جرعة دوليبران Doliprane 1000 mg تبلغ الجرعة الموصي بها من عقار دوليبران قرص واحد مرتين الي ٤ مرات في اليوم من الممكن تناول هذا الدواء على فترات زمنية تبلغ من ٤- ٨ ساعات. الجرعة اليومية القصوي هي ٤ اقراص.  طريقة استخدام دوليبران ١٠٠٠     اترك دائمًا 4 ساعات على الأقل بين الجرعات. يمكن أن يسبب تناول جرعة زائدة من الباراسيتامول آثارًا جانبية خطيرة لا تتناول جرعة زائدة حتى إذا كان الألم شديدًا التخزين ومحتوي علبة Doliprane 1000 mg يحفظ في درجة حرارة لا تتجاوز ٣٠ درجة مئوية في مكان جاف.  دوليبران اقراص علبة كرتونية تحتوي على  تلاتة شرايط  بكل منهم ٥ اقراص ونشرة داخلية. الأعراض الجانبية لبرشام دوليبران (Doliprane tab) نادرًا ما يسبب الباراسيتامول آثارًا جانبية إذا كنت تتناوله بالجرعة المناسبة. "" إذا كنت قلقًا بشأن الآثار الجانبية أو لاحظت أي شيء غير عادي أثناء تناولك الدواء ، فتحدث إلى الصيدلي أو الطبيب"". موانع استعمال doliprane 1000 mg مسكن فى حالة الحساسية تجاه الباراسيتامول أو أى من مكونات الدواء الاخرى أمراض الكبد أو الكلى فى حالة تناول أدوية علاج الصرع فى حالة تناول أدوية علاج مرض السل فى حالة تناول الأدوية المضادة لتجلط الدم مثل الوارفارين فى حالة تناول نبتة سانت جون ( وهى علاج عشبي يؤخذ للاكتئاب )  لا تتناول الدواء مع أدوية أخرى تحتوي على الباراسيتامول. تحذيرات قبل تناول أقراص دوليبران 1000  يجب إستشارة الطبيب أو الصيدلى فى حالة كنت تتناول أدوية أخرى أو تعانى من أى أمراض. أقراص دوليبران للحامل     يمكن استعمال دوليبران 1000 للحامل  وينصح بتناول الدواء بأقل جرعة مناسبة و لأقصر فترة ممكنة. دوليبران للمرضع  يمكن استعمال دوليبران 1000 للمرضع   قهو آمن أثناء الرضاعة الطبيعية بالجرعات الموصى بها. دوليبران 1000 والضغط يُنصح الأشخاص الذين يعانون من ارتفاع ضغط الدم باستخدام الباراسيتامول أو الأسبرين لتخفيف الألم. متى سأشعر بتحسن بعد تناول اقراص دوليبران؟   يستغرق دوليبران باراسيتامول 1000 ملغ عادة ما يصل إلى ساعة ليظهر مفعوله ويستمر لمدة 5 ساعات. هل يتم تناول دوليبران للزكام قبل أم بعد الأكل ؟   يمكنك تناول دوليبران بأمان على معدة فارغة أو بعد الأكل.",ماركة: دوليبران
2104,اقراص دوليبران 1000 باراسيتامول doliprane | ١٥ قرص,novaldol analgesic and pain killer tablets,48,EGP,دوليبران,الأدوية>مسكنات الألم,in stock,https://chefaa.com:443/eg-ar/nowProduct/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets-01754834008.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/novaldol-analgesic-and-pain-killer-1000-mg-15-tablets-01754834008.png,"مميزات المنتج   اقراص دوليبران 1000 باراسيتامول (Doliprane 1000 mg tab) هو مسكن للآلام وخافض للحرارة يحتوي على مادة الباراسيتامول، ويُستخدم لتخفيف الصداع، آلام الجسم، والحمى. يُؤخذ بحذر وفق الجرعة المحددة لتجنب أي ضرر على الكبد.   عن هذا المنتج     اقراص دوليبران 1000  اخلصي من الم الصداع بحباية واحدة علاج دوليبران 1000 هو دواء مسكن للاسنان والصداع وآلام الجسم ويعمل كخافض للحرارة ويتميز بأنه آمن للحامل والمرضع ولا يسبب مشاكل بالمعدة. مكونات برشام دوليبران اقراص (doliprane 1000 ) برشام doliprane يحتوي القرص الواحد على ١٠٠٠ مجم باراسيتمول   الباراسيتامول paracetamol هو مسكن شائع يستخدم لعلاج الآلام والصداع وتقليل درجة الحرارة العالية كما أنه مكون في العديد من علاجات البرد والإنفلونزا"".  دواعي استعمال دوليبران 1000 باراسيتامول دوليبران اقراص يعمل على تسكين الالام وخفض الحمي.  دوليبران 1000 أقراص يُستخدم لحالات الصداع والصداع النصفي وآلام الاسنان والم الاذن والم الدورة الشهرية والم العضلات والمفاصل والعظام. جرعة دوليبران 1000      يجب عليك مراجعة الطبيب أو الصيدلي قبل تناول الدواء جرعة الدواء قد تختلف من حالة لأخرى  الجرعة المعتادة من اقراص باراسيتامول 1000   تبلغ الجرعة الموصي بها من عقار دوليبران قرص واحد مرتين الي ٤ مرات في اليوم  من الممكن تناول هذا الدواء على فترات زمنية تبلغ من ٤- ٨ ساعات.   الجرعة اليومية القصوي هي  ٤ اقراص.  طريقة استخدام دوليبران ١٠٠٠ مجم     اترك دائمًا 4 ساعات على الأقل بين الجرعات. يمكن أن يسبب تناول جرعة زائدة من الباراسيتامول آثارًا جانبية خطيرة لا تتناول جرعة زائدة حتى إذا كان الألم شديدًا التخزين ومحتوي علبة علاج دوليبران  Doliprane 1000 mg يحفظ برشام doliprane في درجة حرارة لا تتجاوز ٣٠ درجة مئوية في مكان جاف. دوليبران اقراص علبة كرتونية تحتوي على  تلاتة شرايط  بكل منهم ٥ اقراص ونشرة داخلية. موانع استعمال doliprane 1000 mg مسكن     فى حالة الحساسية تجاه الباراسيتامول أو أى من مكونات الدواء الاخرى أمراض الكبد أو الكلى فى حالة تناول أدوية علاج الصرع فى حالة تناول أدوية علاج مرض السل فى حالة تناول الأدوية المضادة لتجلط الدم مثل الوارفارين فى حالة تناول نبتة سانت جون ( وهى علاج عشبي يؤخذ للاكتئاب )  لا تتناول الدواء مع أدوية أخرى تحتوي على الباراسيتامول. اقراص دوليبران للحامل يمكن استعمال دوليبران 1000 للحامل وينصح بتناول الدواء بأقل جرعة مناسبة و لأقصر فترة ممكنة. مسكن دوليبران للمرضع يمكن استعمال دوليبران 1000 للمرضع  قهو آمن أثناء الرضاعة الطبيعية بالجرعات الموصى بها. حبوب دوليبران 1000 والضغط  يُنصح الأشخاص الذين يعانون من ارتفاع ضغط الدم باستخدام الباراسيتامول أو الأسبرين لتخفيف الألم. ما أضرار دوليبران 1000 باراسيتامول أقراص ؟ نادرًا ما يسبب دواء doliprane آثارًا جانبية إذا كنت تتناوله بالجرعة المناسبة. "" إذا كنت قلقًا بشأن الآثار الجانبية أو لاحظت أي شيء غير عادي أثناء تناولك الدواء ، فتحدث إلى الصيدلي أو الطبيب"". ما خطورة دوليبران 1000 ؟ دواء دوليبران (Doliprane) يحتوي على باراسيتامول (Paracetamol)، وهو آمن عند استخدامه بالجرعات الموصى بها، لكن تجاوز الجرعة أو استخدامه بشكل مفرط قد يسبب مشاكل في الكبد، وقد يصل إلى الفشل الكبدي في الحالات الشديدة. كما يجب الحذر عند تناوله مع أدوية أخرى تحتوي على نفس المادة لتجنب التسمم. ماذا يعالج دوليبران 1000؟ يساعد دوليبران برشام فى تخفيف آلام الجسم والصداع والحمى. متى سأشعر بتحسن بعد تناول اقراص دوليبران 1000 للبرد؟ يستغرق دوليبران باراسيتامول 1000 ملغ عادة ما يصل إلى ساعة ليظهر مفعوله ويستمر لمدة 5 ساعات. هل دوليبران أفضل من البروفين ؟ يعتمد نوع الدواء الذي تحتاجه على نوع الألم الذي تعاني منه. يعمل دوليبران والبروفين بطرق مختلفة. ويعد أحدهما أفضل من الآخر لبعض أنواع الألم. فمثلاً دوليبران عادة ما يكون افضل لآلام الصداع وآلام المعدة ولكن الإيبوبروفين قد يكون أفضل لألم الدورة الشهرية وآلام الأسنان وآلام الظهر . هل يتم تناول دوليبران للزكام قبل أم بعد الأكل ؟   يمكنك تناول حبوب دوليبران بأمان على معدة فارغة أو بعد الأكل. هل دوليبران يسبب النعاس ؟ دوليبران (Doliprane) لا يسبب النعاس في العادة، لأنه يحتوي فقط على مادة الباراسيتامول، وهي مسكن وخافض للحرارة لا تؤثر على الجهاز العصبي المركزي بشكل يسبب النعاس. ما أقوى مسكن للصداع ؟   يمكن استخدام المسكنات التي لا تستلزم وصفة طبية مثل الإيبوبروفين أو الباراسيتامول للألم الخفيف ويمكن استخدام الأدوية التي تستلزم وصفة طبية مثل الديكلوفيناك للألم المتوسط ​​أو الشديد. ما أقوى مسكن لألم الأسنان ؟ المسكنات المضادة للالتهابات مثل الإيبوبروفين و الديكلوفيناك هي الأفضل لألم الأسنان ولكن إذا كنت لا تستطيع تناولها فإن الباراسيتامول هو أفضل دواء بعدها. ما أفضل مسكن عظام قوي والتهاب المفاصل ؟   غالبًا ما تستخدم المسكنات المضادة للالتهابات مثل الإيبوبروفين ( البروفين ) والنابروكسين و سيليكوكسيب (سيليبريكس)  لعلاج الألم والالتهاب لدى الأشخاص المصابين بالتهاب المفاصل ، ولكنها يمكن أن تسبب قرحة أو نزيف فى المعدة أو الأمعاء.",ماركة: دوليبران
5048,بانادول كولد اند فلو علاج فعال لأعراض البرد و الإنفلونزا | 24 قرص,panadol cold and flu day,76,EGP,بانادول,الأدوية>أدوية الكحة والزكام,in stock,https://chefaa.com:443/eg-ar/nowProduct/panadol-cold-and-flu-day,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-cold-and-flu-day-01757586304.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-cold-and-flu-day-01757586304.png,"مميزات المنتج   بنادول كولد اند فلو داي علاج فعال لأعراض البرد و الإنفلونزا | 24 قرص   عن هذا المنتج     ما هو بانادول كولد اند فلو داي ؟ هو علاج فعال لاعراض البرد والانفلونزا تشمل هذه الاعراض الصداع و آلام الجسم وإنسداد و سيلان ألانف و الحمى بنادول كولد أند فلو داى فعال في علاج وألم الجيوب ألانفية والجهد والإرهاق والرشح  لا يسبب النعاس إذا تم إستخدامه وفقا للإرشادات بنادول كولد اند فلو دواعي الاستعمال  علاج اعراض البرد والانفلونزا تشمل هذه الاعراض الصداع و آلام الجسم وإنسداد و سيلان ألانف و الحمى جرعة بنادول كولد اند فلو داي  البالغين والأطفال أكبر من 16 سنة (يجب تناول قرصين كل 4 او 6 ساعات حسب الحاجة بحيث لاتزيد الجرعة اليومية عن 8 أقراص في خلال 24 ساعة)  مكونات برشام بنادول للبرد (panadol cold and flu) كل قرص يحتوي على : باراسيتامول تركيز 500 مجم  كافيين تركيز 25 مجم  فينيليفرين هيدروكلوريد تركيز 5 مجم سعر بنادول كولد اند فلو داي يبلغ سعر بانادول كولد اند فلو  المصري حوالى 50 جنيه لعبوة تحتوى على 24 قرص. يبلغ سعر شريط بنادول كولد اند فلو  للبرد 12 جنيه. "" panadol cold and flu سعره  قد يتغير من وقت لاخر تبعاً لتغيره فى الصيدليات """,ماركة: بانادول
576,ايريوس أقراص لحساسية الانف والارتيكاريا 5 مجم |20 قرص,aerius 5mg tab,118,EGP,ايريوس,الأدوية>الحساسية,in stock,https://chefaa.com:443/eg-ar/nowProduct/aerius-5mg-30-tab,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aerius-5mg-30-tab-01744709703.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aerius-5mg-30-tab-01744709703.png,مميزات المنتج   ايريوس أقراص لحساسية الانف والارتيكاريا 5 مجم |20 قرص   عن هذا المنتج     الجرعة وطريقة الاستخدام :  يتناول المريض 5، أو 10 مجم مرة أو مرتين يومياً. الجرعة القصوى 10 مجم يومياً. دواعي الاستعمال :  سيلان الأنف. العطس. الحكة. العيون الدامعة. حكة في الأنف والحنجرة. التهاب الجيوب الأنفية. الرَمَد. الإحمرار المُزمن.,ماركة: ايريوس
55952,نازونيكس 0.05% بخاخ للانف موميتازون فيورات مونوهيدرات 120 بخة | 18جم,nasonex mometasone furoate monohydrate aqueous nasal spray scent free grW0TQ,157,EGP,نازونيكس,الأدوية>الحساسية,in stock,https://chefaa.com:443/eg-ar/nowProduct/nasonex-005-mometasone-furoate-monohydrate-aqueous-nasal-spray-scent-free-18-grW0TQ,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/nasonex-005-mometasone-furoate-monohydrate-aqueous-nasal-spray-scent-free-18-grw0tq-01744709642.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/nasonex-005-mometasone-furoate-monohydrate-aqueous-nasal-spray-scent-free-18-grw0tq-01744709642.png,مميزات المنتج   نازونيكس 0.05% بخاخ للانف موميتازون فيورات مونوهيدرات 120 بخة | 18جم,ماركة: نازونيكس
2103,تلفاست مضاده للحساسية ولا تسبب النعاس 120مجم | 20 قرص,telfast antihistamine allergy tablets tablets,116,EGP,تلفاست,الأدوية>الحساسية,in stock,https://chefaa.com:443/eg-ar/nowProduct/telfast-antihistamine-allergy-tablets-120-mg-20-tablets,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/telfast-antihistamine-allergy-tablets-120-mg-20-tablets-01742218104.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/telfast-antihistamine-allergy-tablets-120-mg-20-tablets-01742218104.png,مميزات المنتج   تلفاست اقراص مضاده للحساسية لا يسبب النعاس ١٢٠ مجم٢٠ قرص لحساسية الانف تلفاست 120 اقراص telfast من أفضل أدوية الحساسية حيث يخفف من أعراض الحساسية المزعجة مثل سيلان الأنف والرشح والحكة الشديدة وإحمرار الجلد ، كما أنه يساعد أيضاً فى علاج أعراض البرد والزكام ويُستخدم للأطفال والكبار.   عن هذا المنتج     تلفاست ١٢٠ مجم عيش حياتك على طريقتك   تلفاست ١٢٠ مجم اقراص كل قرص يحتوي على ١٢٠ مجم فيكسوفينادين هيدروكلورايد.  دواعي استعمال  حبوب تلفاست تلفاست ١٢٠ مجم تخفيف الاعراض المصاحبة لالتهاب الانف التحسسي الموسمي في البالغين والاطفال من سن١٢ عاما او اكبر. جرعة وطريقة استخدام حبوب Telfast الجرعة والتناول للبالغين والأطفال بعمر 12 عاما أو أكبر  التهاب الأنف التحسسي : 60 مجم مرتين يوميا عند الحاجة. التهاب الأنف التحسسي الموسمي 120 مجم مرة واحده يوميا عند الحاجة . التخزين ومحتوي العلبة حبوب Telfast 120 يحفظ فى درجة حرارة اقل من ٢٥ درجة مئوية فى مكان جاف. تلفاست 120 مجم علبة كارتون تحتوي على شريطين كل شريط يحتوي على ١٠ اقراص ونشرة داخلية.,ماركة: تلفاست
11995,انتروجرمينا امبول بروبيوتيك للقولون للاطفال والكبار 2 مليار/5 مل enterogermina | ١٠ امبولات,enterogermina oral suspension billion 5ml vials fvga,200,EGP,انتروجرمينا,الأدوية>ادوية المعدة والقولون,in stock,https://chefaa.com:443/eg-ar/nowProduct/enterogermina-oral-suspension-2-billion-5ml-20-vials-fvga,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/enterogermina-oral-suspension-2-billion-5ml-20-vials-fvga-01742215810.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/enterogermina-oral-suspension-2-billion-5ml-20-vials-fvga-01742215810.png,"مميزات المنتج   انتروجرمينا امبول (Enterogermina) أمبولات بروبيوتيك تحتوي على 2 مليار من بكتيريا Bacillus clausii في كل 5 مل، وتُستخدم لعلاج اضطرابات الجهاز الهضمي مثل الإسهال الناتج عن المضادات الحيوية أو تغيرات الفلورا المعوية. تساعد على استعادة التوازن الطبيعي للبكتيريا النافعة وتحسين صحة الأمعاء.   عن هذا المنتج     انتروجرمينا لبطن سعيدة التوازن الطبيعي للبكتيريا الجهاز الهضمي.   انتروجرمينا يحتوي على بزيرات عصية كلوزي المقاومة لعدد من المضادات الحيوية. ما هو انتروجرمينا للاطفال والكبار ؟ انتروجرمينا (Enterogermina) هو مكمل بروبيوتيك يحتوي على بكتيريا نافعة من نوع Bacillus clausii بتركيز 2 مليار لكل 5 مل ، ويُستخدم للأطفال والكبار لدعم صحة الجهاز الهضمي واستعادة التوازن البكتيري في الأمعاء. امبولات enterogermina دواعي الاستعمال تُستخدم enterogermina امبولات لعلاج اختلال توازن النبيت الجرثومي المعوي والوقاية منه والعلاج المرافق للمساعدة على استعادة توازن النبيت الجرثومي المعوي ولعلاج الاضطرابات الهضمية الحادة والمزمنة لدى الرضع والاطفال . جرعة امبولات انتروجرمينا للرضع والاطفال والكبار انتروجرمينا البالغون من القارورتين الي ٣ قوارير في اليوم. الاولاد والاطفال الرضع من قارورة الي قارورتين في اليوم. يجب رج القارورة جيدا قبل الاستعمال لفتح القارورة الوي الجزء العلوي وانزعه. تؤخذ الامبولات عبر الفم وليس الحقن التخزين ومحتويات علبة انتروجرمينا امبول يحفظ في حرارة ما دون٣٠ درجة مئوية. enterogermina امبولات تأتي على شكل مستعلق للشرب علبة من ١٠ قارورة من ٥ ملي. سعر انتروجرمينا في مصر  سعر امبولات انتروجرمينا للاطفال حوالى 150 جنيه لعبوة تحتوى على 10 امبولات تركيز الامبول 2 مليار / 5 مل. "" قد يتغير سعر دواء انتروجرمينا من وقت لاخر تبعاً لتغيره فى الصيدليات """,ماركة: انتروجرمينا
2105,دواء برونشيكم شراب للكبار وللاطفال للكحة bronchicum syrup | ١٠٠ مل,bronchicum elixir anti cough elixir,78,EGP,برونشيكم,الأدوية>أدوية الكحة والزكام,in stock,https://chefaa.com:443/eg-ar/nowProduct/bronchicum-s-elixir-anti-cough-elixir-100-ml,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bronchicum-s-elixir-anti-cough-elixir-100-ml-01742214935.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bronchicum-s-elixir-anti-cough-elixir-100-ml-01742214935.png,"مميزات المنتج   برونشيكم شراب للاطفال وللكبار للكحة (bronchicum syrup)  هو مكمل عشبى لعلاج الكحة المصحوبة ببلغم والناشفة يتوافر بحجم 100 مل يحتوى علي خلاصة الزعتر السائلة وخلاصة جذور زهرة الربيع السائلة وايثانول   عن هذا المنتج     برونشيكم الكسير متخليش لحظة حلوة تفوتك بسبب الكحة مكونات دواء كحه برونشيكم شراب (bronchicum syrup )  دواء كحة برونشيكم الكسير (bronchicum elixir s syrup) يحتوي على خلاصة الزعتر السائلة وخلاصة جذور زهرة الربيع السائلة وشراب السكروز والكراميل والسكر.   خلاصة الزعتر  : تساعد على تهدئة الكحة وتخفف من أعراض الإلتهاب الرئوى كما أن لها خصائص مضادة للفطريات وتحتوى على فيتامين ج الذى يساعد على تحسين المناعة وفيتامين أ   خلاصة جذور زهرة الربيع  : لها تأثير طارد للبلغم حيث تعمل على جعل البلغم أقل كثافة مما يسهل خروج البلغم أثناء الكحة دواعي استعمال برونشيكم للاطفال وللكبار برونشيكم الكسير شراب دواء عشبي يُستخدم فى حالات نزلات البرد  ويستخدم لعلاج اعراض الالتهاب الشعب الهوائية الحاد والكحة المصاحبة للبلغم الناتجة عن نزلات البرد. فوائد برونشيكم شراب للكبار والاطفال يهدىء من الكحة المصاحبة لنزلات البرد والإنفلونزا والتهاب الشعب الهوائية والربو ينظف الشعب الهوائية من البلغم يحمي من الميكروبات جرعة برونشيكم شراب للاطفال والكبار   الجرعة ٧,٥   مل أربع مرات يوميا للاطفال الذين تترواح اعمارهم من 5 سنوات فما فوق والمراهقين والبالغين .  يجب تناول برونشيكم الكسير على قترات منتظمة في جرعات مقسمة على مدار اليوم طريقة استعمال bronchicum syrup   يجب رج الزجاجة قبل الإستعمال   مدة الإستعمال ليست محددة وتكون وفقاً لما تحتاجه الحالة   يجب ألا تقل الفترة بين الجرعات عن ٤ ساعات   يجب ألا تتجاوز مدة العلاج المستمر عن ٧ أيام التخزين ومحتوي علبة دواء برونشيكم الكسير يحفظ في  درجة حرارة  لا يزيد عن ٣٠ درجة مئوية. دواء للكحة برونشيكم  الكسير متوفر في عبوات تحتوي على 100 ملي من السائل.   شراب برونشيكم سعر   سعر دواء برونشيكم  شراب هو 69 جنيه مصرى "" سعر برونشيكم شراب للكبار قد يتغير من وقت لاخر تبعاً لتغير سعره فى الصيدليات "" ما الفرق بين برونشيكم وبرونشيكم اس للاطفال ؟ فى مصر يتوافر نوع واحد من الدواء وهو برونشيكوم إلكسير إس Bronchicum Elixir S ( وهو من أدوية الكحة الناشفة والمصحوبة ببلغم. ما الأعراض الجانبية لشراب برونشيكم للكحة ؟   غالباً لا يسبب برونشيكم الكسير  ظهور أعراض جانبية ولكن قد يسبب الحساسية لدى البعض وتشمل أعراض الحساسية الطفح الجلدى وتورم بالوجه أو الفم أو الحلق وصعوبة بالتنفس وفى حالة التعرض لأى من هذه الأعراض يجب إيقاف الدواء فوراً.   ما موانع استعمال bronchicum elixir 100 ml  ؟     لا يستخدم الدواء فى حالة الحساسية تجاه أى من العناصر المكونة للدواء   قد يوثر الدواء على الأشخاص الذين يعانون من إلتهابات بالجهاز البولى أو الجهاز الهضمى   يستخدم بحذر فى الأشخاص الذين يعانون من إضطرابات بالغدة الدرقية هل ينفع دواء برونشيكم للحامل ؟ يفضل تجنب تناول دواء bronchicum  فى فترة الحمل إلا عند الحاجة وبعد إستشارة الطبيب. هل ينفع دواء برونشيكم للمرضعات ؟ إذا كانت هناك حاجة لاستخدام دواء لعلاج السعال أو مشكلات تنفسية أثناء الرضاعة، فإنه يجب استشارة  الطبيب قبل استعماله برونشيكم للاطفال من سن كام ؟ عادة ما يُوصى باستخدام هذا الدواء للأطفال فوق سن 5 سنوات، ويجب استشارة الطبيب أو الصيدلي قبل استخدامه للأطفال اصغر من ذلك. هل ينفع دواء برونشيكم للاطفال الرضع ؟   يجب إستشارة الطبيب قبل إستخدام الدواء للرضع والأطفال أقل من 5 سنوات.   هل دواء برونشيكم يسبب النعاس ؟   لا يسبب دواء برونشيكم شراب  النعاس.   برونشيكم شراب لمرضى السكر ؟ عادة ما يجب توخي الحذر عند استخدام أي دواء يحتوي على السكر أو أي مكونات يمكن أن تؤثر على مستوى السكر في الدم.  ما أفضل دواء مهدئ للسعال وطارد للبلغم للكبار ؟   من أسماء أدوية السعال للكبار في مصر الآتى (بديل برونشيكم) :     شراب بلسم للكحة للحامل   شراب ايفيبرونت اقوى علاج للكحه للأطفال   شراب برونكوفين للكبار   أقراص فاركوسولفين   شراب بيسلفون     ما أفضل دواء موسع للشعب الهوائية وطارد للبلغم  ؟   تتوافر العديد من الأدوية المهدئة للكحة ومنها :     دواء ميوكوفللين للكبار   شراب ابيكوفيللين   شراب اولفنت     ما أسباب الكحة المستمرة ؟   الكحة أو السعال المزمن هى كحة تستمر لمدة أكثر من ٨ أسابيع للكبار و ٤ أسابيع للأطفال ولها عدة أسباب منها :      إنتاج الأنف أو الجيوب الأنفية مخاط زائد   الربو   عدوى في الجهاز التنفسي العلوي مثل التهاب الرئة، أو الإنفلونزا، أو البرد   بعض أنواع أدوية ضغط الدم مثل مثبطات الإنزيم المحوِّل للأنجيوتنسين (ACE ) مثل دواء كابوتين , دواء كابتوبريل , دواء إيزابريل",ماركة: برونشيكم
28539,لينكس للبالغين | 14 كبسولة,linex adults capsules zkse,260,EGP,لينكس,الأدوية>ادوية المعدة والقولون,in stock,https://chefaa.com:443/eg-ar/nowProduct/linex-adults-14-capsules-zkse,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/linex-adults-14-capsules-zkse-01724148665.png,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/linex-adults-14-capsules-zkse-01724148665.png,مميزات المنتج   لينكس للبالغين | 14 كبسولة   عن هذا المنتج     مكمل بروبيوتيك لدعم التوازن ووظيفة الميكروفلورا المعوية المفيدة.,ماركة: لينكس
